open_time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_base_vol,taker_quote_vol,ignore
2019-05-22,253.35,260.18,239.63,243.64,592848.95605,2019-05-22 23:59:59.999,149006735.6421766,208482,291969.97415000,73414296.66146300,0
2019-05-23,243.68,247.34,231.1,244.56,600193.89368,2019-05-23 23:59:59.999,144051488.877393,198869,309885.62434000,74420906.58624260,0
2019-05-24,244.63,254.35,241.54,248.87,447066.92596,2019-05-24 23:59:59.999,111294049.3667149,171482,229477.28310000,57122435.76708870,0
2019-05-25,248.84,257.33,247.22,250.22,332544.38731,2019-05-25 23:59:59.999,83665127.8436946,125719,165867.00466000,41743833.88030320,0
2019-05-26,250.17,269.4,245.11,264.45,450090.22324,2019-05-26 23:59:59.999,115089467.7879579,159525,228355.77865000,58341623.55357680,0
2019-05-27,264.35,279.59,260.0,270.53,635463.50204,2019-05-27 23:59:59.999,170250734.8917526,246768,330156.00440000,88481982.05632180,0
2019-05-28,270.7,275.95,264.45,271.03,409443.69364,2019-05-28 23:59:59.999,110617403.6892461,181468,210233.09508000,56815735.94326080,0
2019-05-29,271.08,274.04,260.05,268.83,383412.45769,2019-05-29 23:59:59.999,102868997.4320186,173915,194501.87335000,52207691.80542120,0
2019-05-30,268.92,288.62,240.14,254.56,1066279.49387,2019-05-30 23:59:59.999,289930479.3621191,368300,538953.47484000,146893725.34139050,0
2019-05-31,254.59,268.72,245.21,267.9,602153.87244,2019-05-31 23:59:59.999,154783065.7707739,253604,313715.51397000,80669442.71598880,0
2019-06-01,267.9,275.5,260.68,264.33,455676.98613,2019-06-01 23:59:59.999,121851235.7591843,182844,244439.94900000,65355188.67786990,0
2019-06-02,264.33,273.2,263.2,268.88,301536.15062,2019-06-02 23:59:59.999,80960737.4054672,138349,154397.78666000,41448599.01593120,0
2019-06-03,268.87,270.0,248.0,249.91,397360.65275,2019-06-03 23:59:59.999,103602836.6837421,193998,200720.66553000,52390021.78715460,0
2019-06-04,250.02,251.67,234.39,241.39,633822.71246,2019-06-04 23:59:59.999,154709331.2941874,270568,339927.90333000,82990901.39578750,0
2019-06-05,241.46,250.41,237.37,245.63,335953.37927,2019-06-05 23:59:59.999,81839286.6165841,173428,178579.70212000,43520932.10462890,0
2019-06-06,245.62,250.66,235.01,248.76,297579.14734,2019-06-06 23:59:59.999,72417630.0041218,146839,147753.23828000,35979777.02708260,0
2019-06-07,248.77,253.28,243.46,248.77,353378.6568,2019-06-07 23:59:59.999,87644279.2486556,149700,194475.01521000,48168225.62950880,0
2019-06-08,248.78,250.53,240.37,243.25,188448.27748,2019-06-08 23:59:59.999,46293916.7909609,108260,93452.11427000,22960690.01464970,0
2019-06-09,243.33,244.53,226.56,230.98,316931.85638,2019-06-09 23:59:59.999,74594101.4163109,147025,149751.60604000,35315026.61190310,0
2019-06-10,231.02,247.45,227.03,246.51,314662.52637,2019-06-10 23:59:59.999,75090336.6626488,162704,164859.97136000,39325235.34644170,0
2019-06-11,246.61,247.8,236.49,244.29,237508.42798,2019-06-11 23:59:59.999,57549753.7376492,133083,122937.01231000,29783270.30576430,0
2019-06-12,244.36,261.87,242.2,261.15,336499.3016,2019-06-12 23:59:59.999,84660448.5685657,171468,191035.62205000,48123907.86953020,0
2019-06-13,261.13,262.98,253.69,254.67,291757.21635,2019-06-13 23:59:59.999,75447391.0373403,159838,142504.25920000,36847759.06835270,0
2019-06-14,254.67,264.26,251.75,262.47,327383.28236,2019-06-14 23:59:59.999,84045849.5425799,175229,173197.96874000,44485225.25706230,0
2019-06-15,262.48,272.27,260.61,267.82,286594.98029,2019-06-15 23:59:59.999,76053046.5533358,146902,155140.46734000,41182902.20716180,0
2019-06-16,267.78,277.06,263.31,267.73,458176.54236,2019-06-16 23:59:59.999,123848161.4689518,206212,238873.01948000,64581167.09349850,0
2019-06-17,267.73,276.0,266.81,273.16,339277.66707,2019-06-17 23:59:59.999,91807270.7108816,185899,176231.60685000,47694833.19982210,0
2019-06-18,273.14,273.58,261.45,264.66,319941.55156,2019-06-18 23:59:59.999,85335852.9315235,184954,161423.04428000,43079362.03205170,0
2019-06-19,264.68,270.0,263.59,268.14,208375.68381,2019-06-19 23:59:59.999,55665919.1543959,111358,107462.88795000,28711402.96394140,0
2019-06-20,268.16,273.63,265.71,271.22,200717.7737,2019-06-20 23:59:59.999,53998507.956007,130438,101208.05863000,27235688.30727280,0
2019-06-21,271.27,295.94,271.22,294.35,519818.06907,2019-06-21 23:59:59.999,148641528.5342657,240649,272679.10280000,77971386.64476490,0
2019-06-22,294.25,314.39,289.69,310.79,726254.67061,2019-06-22 23:59:59.999,222036096.3352611,336414,374894.48528000,114659501.42645640,0
2019-06-23,310.7,321.7,305.58,308.52,418812.02747,2019-06-23 23:59:59.999,131252843.5293641,241819,213747.97180000,67011837.50649190,0
2019-06-24,308.42,314.41,298.0,311.64,352791.26964,2019-06-24 23:59:59.999,108439071.6445221,185588,182026.16675000,56000322.43162790,0
2019-06-25,311.65,318.99,307.0,318.26,345559.65047,2019-06-25 23:59:59.999,108143161.2256218,183415,188753.46606000,59092901.42346480,0
2019-06-26,318.29,366.8,315.57,339.39,1008551.28721,2019-06-26 23:59:59.999,341534154.5328709,477973,519610.70974000,175965673.03564230,0
2019-06-27,339.53,347.0,280.01,298.35,1016826.449,2019-06-27 23:59:59.999,315174509.7084831,449424,511748.69656000,158858383.32239910,0
2019-06-28,298.35,313.58,295.22,311.05,529174.47722,2019-06-28 23:59:59.999,161838706.7872334,260039,279799.14011000,85559731.81055340,0
2019-06-29,310.95,324.74,295.18,317.62,425555.16264,2019-06-29 23:59:59.999,130425514.0458484,233883,215633.39731000,66117436.95007190,0
2019-06-30,317.64,323.5,290.12,292.7,489028.56835,2019-06-30 23:59:59.999,149527443.5798294,265958,236869.51519000,72463463.52024640,0
2019-07-01,292.89,303.49,280.13,295.07,489769.27421,2019-07-01 23:59:59.999,142871936.7587887,247035,262574.76029000,76683112.02415400,0
